height_cm,weight_kgs,overall_rating,value_euro,weak_foot(1-5),balance,stamina,P/A_Ratio,Defensive_Strength,Passing,Attacking_skills,Skills,Mentality,Setpiece_accuracy,Pace,preferred_foot_Left,preferred_foot_Right,body_type_Lean,body_type_Normal,body_type_Stocky,Position_Count,positions_Defender,positions_Forward,positions_Midfielder
154.94,76.2,88,69500000.0,5,81,92,3.2962962962962963,53.10000000000001,90.0,77.45,65.2,71.20000000000002,77.0,74.35000000000001,0,1,1,0,0,3,0,0,1
190.5,83.9,88,73000000.0,4,66,88,3.64,71.10000000000001,86.19999999999999,80.55,68.6,82.4,82.0,75.4,0,1,0,1,0,2,0,0,1
162.56,59.0,88,62000000.0,4,93,75,3.259259259259259,39.300000000000004,84.4,74.3,70.5,63.400000000000006,69.0,89.60000000000001,0,1,0,1,0,2,0,1,0
187.96,88.9,88,60000000.0,3,40,75,3.3703703703703702,83.2,53.099999999999994,39.95,51.800000000000004,83.20000000000002,30.5,72.75,0,1,0,1,0,1,1,0,0
193.04,92.1,88,59500000.0,3,49,75,3.3333333333333335,83.8,68.5,66.25,57.60000000000001,85.00000000000001,66.0,75.65,0,1,0,1,0,1,1,0,0
152.4,73.0,88,81000000.0,4,83,83,4.75,47.2,79.2,80.9,72.10000000000001,76.60000000000001,66.5,96.0,0,1,1,0,0,3,0,1,0
172.72,69.9,89,64500000.0,4,91,76,2.966666666666667,39.00000000000001,76.0,85.8,70.6,80.0,78.0,83.6,0,1,0,0,1,1,0,1,0
185.42,77.1,89,60000000.0,4,59,92,2.78125,57.2,70.89999999999999,85.95,65.2,84.60000000000001,80.5,75.55000000000001,0,1,1,0,0,1,0,1,0
187.96,76.2,89,51500000.0,3,52,86,2.966666666666667,83.10000000000001,81.6,62.80000000000001,62.00000000000001,88.60000000000001,64.0,51.1,0,1,1,0,0,2,0,0,1
175.26,73.0,89,78000000.0,3,82,86,3.3333333333333335,58.10000000000001,82.7,85.15,71.9,82.80000000000001,83.5,86.35000000000001,1,0,1,0,0,2,0,1,0
152.4,74.8,89,89000000.0,3,85,80,3.76,38.4,83.6,81.6,72.5,70.0,87.0,84.80000000000001,1,0,0,1,0,2,0,0,1
187.96,79.8,86,53500000.0,4,51,77,3.875,81.30000000000001,60.8,48.9,48.900000000000006,83.4,43.0,71.65,0,1,0,1,0,1,1,0,0
152.4,67.1,87,20500000.0,4,78,84,2.6363636363636362,82.0,78.2,72.9,62.3,84.2,66.5,67.45,0,1,1,0,0,1,0,0,1
185.42,88.9,87,48500000.0,4,69,70,2.806451612903226,43.0,69.8,84.1,65.2,71.6,66.0,71.1,0,1,0,1,0,1,0,1,0
182.88,78.0,87,46500000.0,4,66,83,2.9,75.7,86.7,78.35,60.7,77.2,82.0,63.8,0,1,1,0,0,2,0,0,1
187.96,86.2,87,34000000.0,3,60,75,2.806451612903226,83.7,73.30000000000001,67.6,58.00000000000001,83.80000000000001,69.5,63.2,1,0,0,1,0,1,1,0,0
170.18,60.8,87,45000000.0,4,92,75,2.806451612903226,41.300000000000004,79.69999999999999,72.65,70.7,73.6,79.0,88.60000000000001,0,1,0,1,0,2,0,1,0
175.26,79.8,87,36500000.0,4,86,89,2.9,79.70000000000002,83.4,75.55,71.2,85.4,63.0,82.45,1,0,0,1,0,1,1,0,0
185.42,81.2,87,44000000.0,3,50,76,2.933333333333333,83.3,73.6,63.45,54.4,83.6,63.5,64.3,0,1,0,1,0,1,1,0,0
170.18,68.0,87,38000000.0,3,85,91,3.0,77.0,80.2,69.60000000000001,67.5,80.20000000000002,61.0,93.0,1,0,0,1,0,1,1,0,0
175.26,69.9,87,51500000.0,3,86,75,3.2222222222222223,69.60000000000001,84.6,71.55,71.5,73.60000000000001,76.0,73.05000000000001,0,1,0,1,0,3,0,0,1
